first,last,season,country,brand,twist,partner,americas_player,season_num,year,age,age_group,zodiac,gender,race_ethnicity,biracial,biracial_one,biracial_two,occupation,occupation_category,lgbt,disability,hometown,state,appearance,last_placement,entrance_num,first_veto,otev,first_hoh,second_hoh,fifth_hoh,expelled,walked,jury,placement,hobbies,motto,hero,fav_tv_show,fav_movie,fav_actor,fav_actress,fav_music,fav_musician,fav_magazine,fav_sport,fav_color,three_adjectives,motivation,strength,weakness,comfort_item,outside_news,physical_or_mental,strategy,bb_fear,fav_sports_team,fav_food,fav_candy,fav_drink,fav_bb_hg,least_fav_bb_hg,dreaded_hg,handle_unexpected,fear,proudest_accomp
Eddie,McGee,bbus1,united_states,regular,,,,1,2000,21,twenties,pisces,male,white,no,,,entertainer,entertainment,no,yes,commack,ny,1,,8,,,,,,no,no,,1,sports,being disabled doesnt mean that you cant live a rewarding life,,,strange_brew,,,,,,basketball,,,,,,,,,,,,sub,,,,,,,,teaching_children_about_disability
Josh,Souza,bbus1,united_states,regular,,,,1,2000,23,twenties,pisces,male,white,no,,,civil_engineering_student,student,no,no,san_jose,ca,1,,6,,,,,,no,no,,2,sports,,,,love_affair,,,,,,basketball,,,,,,,,,,,,burger,,,,,,,,
Curtis,Kin,bbus1,united_states,regular,,,,1,2000,28,twenties,sagittarius,male,asian,no,,,lawyer,law,no,no,new_york_city,ny,1,,5,,,,,,no,no,,3,exercising,,,,the_princess_bride,,,classic_music,,,running,,,,,,,,,,,,burger,,,,,,,,
Jamie_Marie,Kern,bbus1,united_states,regular,,,,1,2000,22,twenties,cancer,female,white,no,,,model,fashion,no,no,seattle,wa,1,,7,,,,,,no,no,,4,pageants,carpe diem,oprah,,dead_poets_society,,,,,,dancing,,,,,,,,,,,,nachos,,,,,,,,
George,Boswell,bbus1,united_states,regular,,,,1,2000,41,fourties,libra,male,white,no,,,roofer,construction,no,no,rockford,il,1,,9,,,,,,no,no,,5,volunteering,,,,the_blues_brothers,,,,,,,,,,,,,,,,,,italian,,,,,,,,
Cassandra,Waldon,bbus1,united_states,regular,,,,1,2000,37,thirties,libra,female,black,no,,,un_communications_director,government,no,no,havre_de_grace,md,1,,1,,,,,,no,no,,6,writing,,,,james_bond,,,,,,,,,,,,,,,,,,mexican,,,,,,,,
Brittany,Petros,bbus1,united_states,regular,,,,1,2000,25,twenties,virgo,female,white,no,,,actress,entertainment,no,no,robbinsdale,mn,1,,2,,,,,,no,no,,7,traveling,,,,dangerous_liaisons,,,,,,wakeboarding,,,,,,,,,,,,mexican,,,,,,,,
Karen,Fowler,bbus1,united_states,regular,,,,1,2000,43,fourties,virgo,female,white,no,,,mother,parent,no,no,columbus,in,1,,4,,,,,,no,no,,8,exercising,,,,as_good_as_it_gets,jim_carrey,,,,,swimming,,,,,,,,,,,,,,,,,,,,
Jean,Jordan,bbus1,united_states,regular,,,,1,2000,26,twenties,leo,female,white,no,,,exotic_dancer,entertainment,no,no,roanoke,va,1,,3,,,,,,no,no,,9,outdoor_activities,,,,documentaries,,,,,,,,,,,,,,,,,,,,,,,,,,
William,Collins,bbus1,united_states,regular,,,,1,2000,27,twenties,leo,male,black,no,,,politician,government,no,no,philadelphia,pa,1,,10,,,,,,no,no,,10,chess,,,,the_matrix,,,,,,basketball,,,,,,,,,,,,philly_cheesesteak,,,,,,,,
Will,Kirby,bbus2,united_states,regular,,,,2,2001,28,twenties,capricorn,male,white,no,,,physician,health,no,no,tallahassee,fl,1,,12,,,no,no,no,no,no,finalist,1,,be desireless be excellent be gone,steve_austin,boy_meets_world,fight_club,,,,weezer,gq,watersports,black,,,,,,,,,,,sashimi,,,,,,,,
Nicole,Schaffrich,bbus2,united_states,regular,,,,2,2001,31,thirties,aquarius,female,white,no,,,personal_chef,food,no,no,atlanta,ga,1,,1,,,no,no,no,no,no,finalist,2,,believe and respect yourself and those who deserve it,be_your_own_hero,the_practice,the_exorcist,,,,pink_floyd,rolling_stone,volleyball,blue,,,,,,,,,,,vegan,,,,,,,,
Monica,Bailey,bbus2,united_states,regular,,,,2,2001,40,fourties,cancer,female,black,no,,,candy_store_manager,management,no,no,brooklyn,ny,1,,3,,,no,no,no,no,no,yes,3,,dont think of life as under pressure think of it as being interesting and fabulous,niece,will_and_grace,city_of_angels,,,,patti_labelle,good_housekeeping,softball,orange,,,,,,,,,,,soul,,,,,,,,
Hardy,Ames-Hill,bbus2,united_states,regular,,,,2,2001,31,thirties,taurus,male,white,no,,,bouncer,security,no,no,york,pa,1,,4,,,no,no,yes,no,no,yes,4,,do today what others wont so tomorrow you can do what other cant,grandfather,drew_carey,american_beauty,,,rock_alternative,the_verve,entertainment_weekly,football,orange,,,,,,,,,,,chicken,,,,,,,,
Bunky,Miller,bbus2,united_states,regular,,,,2,2001,37,thirties,virgo,male,white,no,,,technical_writer,arts,gay,no,harrisburg,nc,1,,5,,,no,no,no,no,no,yes,5,,create your own reality go with the flow and flow with the flux live and let live,bill_goldberg,will_and_grace,top_gun,,,,ricky_martin,wcw,professional_wrestling,purple,,,,,,,,,,,potatoes,,,,,,,,
Krista,Stegall,bbus2,united_states,regular,,,,2,2001,28,twenties,cancer,female,white,no,,,waitress,food,no,no,opelousas,la,1,,6,,,no,yes,no,no,no,yes,6,,always strive for the best... never settle for less,mom,the_real_world,braveheart,,,,bush,,football,blue,,,,,,,,,,,crawfish,,,,,,,,
Kent,Blackwelder,bbus2,united_states,regular,,,,2,2001,46,fourties,pisces,male,white,no,,,mortgage_broker,real_estate,no,no,powell,tn,1,,11,,,no,no,no,no,no,yes,7,,make my family proud and be good to others,ronald_reagan,aande_biography,the_green_mile,,,,eddie_money,time,golf,blue,,,,,,,,,,,steak,,,,,,,,
Mike,Malin,bbus2,united_states,regular,,,,2,2001,30,thirties,cancer,male,white,no,,,bar_owner,management,no,no,los_angeles,ca,1,,8,,,yes,no,no,no,no,yes,8,,you only live once,mom,the_practice,wall_street,,,rap,,vanity_fair,tennis,,,,,,,,,,,,pizza,,,,,,,,
Shannon,Dragoo,bbus2,united_states,regular,,,,2,2001,29,twenties,sagittarius,female,white,no,,,realtor,real_estate,no,no,san_antonio,tx,1,,2,,,no,no,no,no,no,yes,9,,always be happy,alan_greenspan,sex_and_the_city,predator,,,,fuel,popular_mechanics,,blue,,,,,,,,,,,cheese,,,,,,,,
Autumn,Daly,bbus2,united_states,regular,,,,2,2001,28,twenties,sagittarius,female,black,no,,,aspiring_singer,entertainment,no,no,irving,tx,1,,9,,,no,no,no,no,no,yes,10,,leave no stone unturned,madonna,sex_and_the_city,boys_on_the_side,,,,chante_moore,people,basketball,pink,,,,,,,,,,,pasta,,,,,,,,
Sheryl,Braxton,bbus2,united_states,regular,,,,2,2001,43,fourties,cancer,female,white,no,,,interior_designer,fashion,no,no,ponte_vedra_beach,fl,1,,10,,,no,no,no,no,no,yes,11,,live each day as though it was your last,dr_laura,family_law,bridget_joness_diary,,,,sting,southern_living,tennis,red,,,,,,,,,,,veal,,,,,,,,
Justin,Sebik,bbus2,united_states,regular,,,,2,2001,26,twenties,libra,male,white,no,,,investment_operations_associate,finance,no,no,bayonne,nj,1,,7,,,no,no,no,yes,no,no,12,,,,the_honeymooners,dumb_and_dumber,,,,smashing_pumpkins,mens_fitness,football,gray,,,,,,,,,,,italian,,,,,,,,
Lisa,Donahue,bbus3,united_states,regular,,,,3,2002,26,twenties,aquarius,female,white,no,,,bartender,food,no,no,los_angeles,ca,1,,2,no,,yes,no,no,no,no,finalist,1,outdoor_activities,be happy and love myself first,shirley_temple_black,friends,as_good_as_it_gets,jack_nicholson,meg_ryan,,remy_zero,,,,fun_loving complex full_of_emotion,get_away new_people fun be_mean,team_player sociable,intellectual_competitions,cat,radio,physical,likable,first_evicted,,,,,,,,,,
Danielle,Reyes,bbus3,united_states,regular,,,,3,2002,30,thirties,aquarius,female,black,no,,,media_buyer,advertising,no,no,fairfield,ca,1,,10,no,,no,no,no,no,no,finalist,2,exercising,it could be worse,grandmother,csi,pulp_fiction,robert_de_niro,cate_blanchett,,queen,,football,,strong_minded outgoing sassy,me_time be_a_teenager_again,always_thinking_ahead leader,not_a_follower too_liked extrovert,tv robe movies,sports,physical,innocent sly underestimated fake trust_nobody,losing,,,,,,,,,,
Jason,Guy,bbus3,united_states,regular,,,,3,2002,25,twenties,cancer,male,white,no,,,videographer,entertainment,no,no,mobile,al,1,,12,no,,no,no,no,no,no,yes,3,making_videos,there are only two things that can hinder your dreams money and your imagination if the second is great enough the first will never be a problem,parents,big_brother,moulin_rouge,tom_hanks,nicole_kidman,,delirious,,,,passionate compassionate fun,money fan,easygoing adaptable,too_nice attached,computer internet,family,average_at_both mental,relationships two_allies game_all_the_time adjust,integrity,,,,,,,,,,
Amy,Crews,bbus3,united_states,regular,,,,3,2002,24,twenties,gemini,female,white,no,,,real_estate_appraiser,real_estate,no,no,memphis,tn,1,,1,no,,no,no,no,no,no,yes,4,makeup,i never loved another person the way i loved myself,dad,the_sopranos,gone_with_the_wind,pierce_brosnan,sandra_bullock,,sarah_brightman,,,,selfish pretty vivacious,challenge,humor beauty,spoiled childish,dog,gossip,mental,being_myself get_everyone_evicted_first,isolation living_out_of_suitcase,,,,,,,,,,
Marcellas,Reynolds,bbus3,united_states,regular,,,,3,2002,32,thirties,scorpio,male,black,no,,,fashion_designer,fashion,gay,no,chicago,il,1,,5,no,,no,yes,no,no,no,yes,5,reading,first one on the cover of times wins,be_your_own_hero,law_and_order,breakfast_at_tiffanys,tom_hanks,julia_roberts,,radiohead,,,,stylish sexy beautiful,challenge new_experience new_people money,ego intelligence openness humor,ego need_for_excitement intolerance_of_ignorance_and_meanness,tv robe movies,none,mental,doing_the_unexpected turn_negative_into_positive kind truthful anything_to_win,come_off_as_stereotype,,,,,,,,,,
Roddy,Mancuso,bbus3,united_states,regular,,,,3,2002,30,thirties,taurus,male,white,no,,,writer,arts,no,no,morristown,nj,1,,8,no,,no,no,no,no,no,yes,6,outdoor_activities,,,mr_show,field_of_dreams,robert_duvall,jodie_foster,,beatles,,hockey,,,adventure,observant patient strong_minded,too_strong_minded,remote_control,family international,mental,keep_word underestimated call_out_lies risk_early_exit stay_consistent ,early_eviction,,,,,,,,,,
Gerry,Lancaster,bbus3,united_states,regular,,,,3,2002,51,fifties,capricorn,male,white,no,,,teacher,education,no,no,shadow_hills,ca,1,,3,yes,,no,no,no,no,no,yes,7,dancing,never play poker with a man named doc,grandfather,csi,the_godfather,sean_connery,jodie_foster,,u2,,,,witty competent gregarious,money challenge break,personable persuasive humor,too_trusting opinionated overbearing,tools,sports politics,both,learn_about_hgs personable like_father_and_teacher make_others_feel_safe,bad_example_for_students,,,,,,,,,,
Chiara,Berti,bbus3,united_states,regular,,,,3,2002,25,twenties,aries,female,white,no,,,marketing_representative,advertising,no,no,new_york_city,ny,1,,7,no,,no,no,yes,no,no,yes,8,friends,everything happens for a reason,911_policeman_fireman,six_feet_under,say_anything,john_cusack,julia_roberts,,limp_bizkit,,tennis,,fun_loving energetic outgoing,experience money,competitive mysterious,play_fair,bed,friends,depends,play_fair no_alliances no_favoriteswont_trust_quickly no_friends play_to_win be_honest,exposure,,,,,,,,,,
Josh,Feinberg,bbus3,united_states,regular,,,,3,2002,25,twenties,scorpio,male,white,no,,,waiter,food,no,no,queens,ny,1,,9,no,,no,no,no,no,no,yes,9,sports,dont really work but get paid for it,cat,sportscenter,willy_wonka_and_the_chocolate_factory,robert_de_niro,winona_ryder,,led_zeppelin,,golf,,hysterical swarthy hairy,money win_take_off_work_play_golf,intelligence wit ruthlessness creativity,overbearing argumentative stubborn,cat,sports,mental,creating_and_spreading_gastrointestinal_virus,first_evicted,,,,,,,,,,
Eric,Ouellette,bbus3,united_states,regular,,,,3,2002,27,twenties,taurus,male,white,no,,,firefighter,public_service,no,no,milford,ct,1,,4,no,,no,no,no,no,no,yes,10,exercising,you could die tomorrow so why not be happy today,,seinfeld,liar_liar,ben_stiller,jeanne_tripplehorn,,bob_marley,,,,confident healthy sarcastic,money,good_time adaptable,talk_too_much strange_sleeping,bed,anti_terrorism_war,physical,friends_with_everyone learn_about_hgs,revealing_strategies_in_sleep,,,,,,,,,,
Tonya,Paoni,bbus3,united_states,regular,,,,3,2002,35,thirties,aquarius,female,white,no,,,retail_sales_specialist,sales,no,no,las_vegas,nv,1,,11,no,,no,no,no,no,no,yes,11,family,life is a game its meant to be played,,howard_stern,ghost,anthony_hopkins,demi_moore,,black_crowes,,basketball,,outgoing loving sexy,winning tv,wit humor sincerity respect,mental dont_study_or_learn,children,general bb_hgs,physical,lay_low sex_appeal friends cook,what_types_of_hgs backstabbing,,,,,,,,,,
Lori,Olson,bbus3,united_states,regular,,,,3,2002,39,thirties,capricorn,female,white,no,,,bank_representative,finance,no,no,superior,wi,1,,6,no,,no,no,no,no,no,yes,12,exercising,im here for a good time not a long time,mom,saturday_night_live,scarface,al_pacino,sandra_bullock,not_rock,,,,,zealous approachable perceptive,money,positive_attitude,passionate intimidating,music,family friends,mental,lay_low_first_week soft_side situations_as_they_come,first_evicted,,,,,,,,,,
Jun,Song,bbus4,united_states,regular,x_factor,Jee,,4,2003,26,twenties,cancer,female,asian,no,,,investment_manager,finance,no,no,new_york_city,ny,1,,6,no,,no,no,no,no,no,finalist,1,shopping,what goes around really does come right back around,christopher_reeves_wife,sex_and_the_city,grease,sean_connery,annette_bening,hip_hop,u2,cosmopolitan,volleyball,,picky affectionate independent,attention money,quick_wit humor woman_power,self_centeredness too_quick_tongue girliness,bed,fashion nightlife gossip,mental,charming_men befriending_women,unfairly_portrayed,us_olympics_team,trail_mix,nestle_crunch,coke,,,,,,
Alison,Irwin,bbus4,united_states,regular,x_factor,Justin,,4,2003,22,twenties,leo,female,white,no,,,retail_sales_manager,sales,no,no,pittsburgh,pa,1,,5,no,,no,no,no,no,no,finalist,2,,irwin backwards is win-ir,britney_spears,,,,,,,,,,fun loyal outgoing,money fame,mental physical adaptable make_others_happy,big_mouth bossy,cat,friends family boyfriend miss_pa_winner,both,not_lying not_cheating not_talking_behind_backs,missing_family missing_boyfriend,,,,,,,,,,
Robert,Roman,bbus4,united_states,regular,x_factor,Erika,,4,2003,32,thirties,scorpio,male,latinx,no,,,restaurant_manager,management,no,no,los_angeles,ca,1,,13,no,,no,no,no,no,no,yes,3,sports,enjoy everyday and appreciate it,dad,threes_company,scarface,andy_garcia,daisy_fuentes,cuban,los_van_van,gq,football,,unpredictable loving adventurous,money,mental,missing_family,phone,family,both,concentrate,missing_family,lakers,brownies,snickers,none,,,,,,
Erika,Landin,bbus4,united_states,regular,x_factor,Robert,,4,2003,33,thirties,sagittarius,female,white,no,,,pilates_instructor,exercise,no,no,los_angeles,ca,1,,4,no,,no,no,no,no,no,yes,4,dancing,its the little things in life that make you happy,anyone_who_helps_others,everybody_loves_raymond,the_godfather,tom_hanks,michelle_pfeiffer,dance,coldplay,anything_with_fitness,golf,,strong competitive compassionate,winning,relatable,none,dog,none,physical,relationships secret_alliances,first_evicted,cubs,fruit,snickers,sierra_mist,,,,,,
Jee,Choe,bbus4,united_states,regular,x_factor,Jun,,4,2003,23,twenties,virgo,male,asian,no,,,bookkeeper,finance,no,no,elmhurst,ny,1,,10,no,,no,yes,no,no,no,yes,5,sports,live by respect and honor,dad,the_simpsons,braveheart,mel_gibson,charlize_theron,rnb,chicago,maxim,basketball,,friendly loyal trustworthy,money new_people,charm trustworthy,too_trusting,bed video_games,sports,physical,gain_trust _use_against_them,no_privacy,mets,chips,hersheys_almond,juice,,,,,,
Jack,Owens,bbus4,united_states,regular,x_factor,,,4,2003,58,fifties,scorpio,male,white,no,,,retired_fbi_agent,retired,no,no,birmingham,al,1,,8,no,,no,no,no,no,no,yes,6,writing,family first,john_f_kennedy,nypd_blue,pulp_fiction,tom_hanks,diane_lane,rock,bruce_springsteen,time,racquetball,,witty confident outgoing,game money,friendly people_experience,benefit_of_the_doubt,car,terrorism,mental,strong_alliances non_threatening,first_evicted,crimson_tide,pretzels,zero,gatorade,,,,,,
Justin,Giovinco,bbus4,united_states,regular,x_factor,Alison,,4,2003,22,twenties,capricorn,male,white,no,,,headhunter,business,no,no,pittsburgh,pa,1,,11,no,,no,no,yes,no,no,yes,7,outdoor_activities,work hard play hard,dad,the_sopranos,goodfellas,robert_de_niro,halle_berry,not_country,dave_matthews,maxim,golf,,athletic down_to_earth disorganized,opportunity money,sociable,women,bed,sports,physical,sincere honest focus,nasty_food week_of_pbj,sixers,chips_and_salsa,snickers,red_bull,,,,,,
Nathan,Marlow,bbus4,united_states,regular,x_factor,,,4,2003,23,twenties,libra,male,white,no,,,personal_trainer,exercise,no,no,edmond,ok,1,,2,no,,yes,no,no,no,no,yes,8,sports,live the dream,mom,friends,gladiator,arnold_schwarzenegger,michelle_pfeiffer,rock,u2,sports_illustrated,football,,exciting spontaneous competitive,good_at_it,hard_to_read,aggravated_easily,tv,the_oreilly_factor,physical,dont_burn_bridges,no_privacy,rams,ice_cream,butterfingers,pepsi,,,,,,
Dana,Varela,bbus4,united_states,regular,x_factor,,,4,2003,28,twenties,taurus,female,unknown,no,,,karate_school_manager,management,no,no,queens,ny,1,,7,yes,,no,no,no,no,no,yes,9,sports,losing is not an option,tbd,csi,forrest_gump,tom_hanks,julia_roberts,rock_and_roll,incubus,instyle,baseball,,persistent personable,money fun,personality wont_give_up non_quitting,big_mouth,bed,baseball family,both,let_others_win_for_me,none,yankees,ice_cream,3_musketeers,tea,,,,,,
